"","HINS1","HINS2","HICOV","SCHL","ENG","English","Education","Work_Insurance","Private_Insurance","Health_Insurance_Covered"
"1",1,1,1,21,2,"Well","Bachelor's degree","Yes","Yes","Yes"
"2",1,1,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","Yes","Yes"
"3",0,1,1,16,2,"Well","Regular high school diploma","No","Yes","Yes"
"4",0,0,1,1,3,"Not Well","No Schooling Completed","No","No","Yes"
"5",0,0,1,2,3,"Not Well","Nursery School or Pre-school","No","No","Yes"
"6",0,0,1,21,1,"Very Well","Bachelor's degree","No","No","Yes"
"7",0,1,1,18,1,"Very Well","Some college, but less than 1 year","No","Yes","Yes"
"8",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"9",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"10",0,0,0,22,1,"Very Well","Master's degree","No","No","No"
"11",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"12",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"13",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"14",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"15",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"16",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"18",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"19",0,1,1,16,1,"Very Well","Regular high school diploma","No","Yes","Yes"
"20",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"21",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"22",1,0,1,11,1,"Very Well","Grade 8","Yes","No","Yes"
"23",1,0,1,9,1,"Very Well","Grade 6","Yes","No","Yes"
"24",1,0,1,5,1,"Very Well","Grade 2","Yes","No","Yes"
"25",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"26",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"27",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"28",0,0,0,21,1,"Very Well","Bachelor's degree","No","No","No"
"29",0,0,0,20,1,"Very Well","Associate's degree","No","No","No"
"30",0,0,1,22,1,"Very Well","Master's degree","No","No","Yes"
"31",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"32",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"33",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"34",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"35",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"36",0,0,0,22,1,"Very Well","Master's degree","No","No","No"
"37",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"38",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"39",0,0,0,19,1,"Very Well","1 or more years of college credit, no degree","No","No","No"
"40",1,0,1,15,1,"Very Well","12th Grade - no diploma","Yes","No","Yes"
"41",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"42",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"43",1,0,1,14,2,"Well","Grade 11","Yes","No","Yes"
"44",1,0,1,22,2,"Well","Master's degree","Yes","No","Yes"
"45",1,0,1,22,2,"Well","Master's degree","Yes","No","Yes"
"46",0,0,1,9,2,"Well","Grade 6","No","No","Yes"
"47",0,0,1,12,1,"Very Well","Grade 9","No","No","Yes"
"48",1,0,1,10,1,"Very Well","Grade 7","Yes","No","Yes"
"49",1,0,1,2,1,"Very Well","Nursery School or Pre-school","Yes","No","Yes"
"50",1,1,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","Yes","Yes"
"51",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"52",1,0,1,22,2,"Well","Master's degree","Yes","No","Yes"
"53",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
