"","HINS1","HINS2","HICOV","SCHL","ENG","English","Education","Work_Insurance","Private_Insurance","Health_Insurance_Covered"
"1",0,0,1,22,1,"Very Well","Master's degree","No","No","Yes"
"2",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"3",0,1,1,15,2,"Well","12th Grade - no diploma","No","Yes","Yes"
"4",0,0,1,1,2,"Well","No Schooling Completed","No","No","Yes"
"5",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"6",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"7",0,0,0,9,3,"Not Well","Grade 6","No","No","No"
"8",0,0,0,12,3,"Not Well","Grade 9","No","No","No"
"9",0,0,1,12,1,"Very Well","Grade 9","No","No","Yes"
"10",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"11",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"12",1,0,1,16,2,"Well","Regular high school diploma","Yes","No","Yes"
"13",1,0,1,9,1,"Very Well","Grade 6","Yes","No","Yes"
"14",1,0,1,16,3,"Not Well","Regular high school diploma","Yes","No","Yes"
"15",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"16",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"17",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"18",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"19",1,0,1,16,2,"Well","Regular high school diploma","Yes","No","Yes"
"20",0,0,1,8,1,"Very Well","Grade 5","No","No","Yes"
"21",1,0,1,24,2,"Well","Doctorate degree","Yes","No","Yes"
"22",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"23",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"24",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"25",1,0,1,12,1,"Very Well","Grade 9","Yes","No","Yes"
"26",0,0,0,17,3,"Not Well","GED or alternative credential","No","No","No"
"27",0,0,1,13,2,"Well","Grade 10","No","No","Yes"
"28",0,0,1,6,1,"Very Well","Grade 3","No","No","Yes"
"29",0,0,0,15,4,"Not at all","12th Grade - no diploma","No","No","No"
"30",0,0,0,11,2,"Well","Grade 8","No","No","No"
"31",1,0,1,12,4,"Not at all","Grade 9","Yes","No","Yes"
"32",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"33",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"34",0,0,0,16,3,"Not Well","Regular high school diploma","No","No","No"
"35",0,0,0,16,3,"Not Well","Regular high school diploma","No","No","No"
"36",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"37",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"38",1,0,1,13,1,"Very Well","Grade 10","Yes","No","Yes"
"39",1,0,1,5,1,"Very Well","Grade 2","Yes","No","Yes"
"40",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"41",1,0,1,20,2,"Well","Associate's degree","Yes","No","Yes"
"42",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"43",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"44",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"45",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"46",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"47",0,0,1,21,2,"Well","Bachelor's degree","No","No","Yes"
"48",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"49",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"50",0,0,1,16,3,"Not Well","Regular high school diploma","No","No","Yes"
"51",0,0,1,9,3,"Not Well","Grade 6","No","No","Yes"
"52",0,0,1,5,3,"Not Well","Grade 2","No","No","Yes"
"53",1,0,1,22,2,"Well","Master's degree","Yes","No","Yes"
"54",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"55",1,0,1,9,2,"Well","Grade 6","Yes","No","Yes"
"56",1,0,1,9,2,"Well","Grade 6","Yes","No","Yes"
"57",1,1,1,21,1,"Very Well","Bachelor's degree","Yes","Yes","Yes"
"58",1,1,1,16,2,"Well","Regular high school diploma","Yes","Yes","Yes"
"59",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"60",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"61",1,0,1,1,1,"Very Well","No Schooling Completed","Yes","No","Yes"
"62",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"63",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"64",1,0,1,5,1,"Very Well","Grade 2","Yes","No","Yes"
"65",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"66",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"67",0,0,0,16,3,"Not Well","Regular high school diploma","No","No","No"
"68",0,0,0,11,1,"Very Well","Grade 8","No","No","No"
"69",0,0,1,3,1,"Very Well","Kindergarten","No","No","Yes"
"70",0,0,1,10,1,"Very Well","Grade 7","No","No","Yes"
"71",0,0,1,18,1,"Very Well","Some college, but less than 1 year","No","No","Yes"
"72",0,0,0,19,1,"Very Well","1 or more years of college credit, no degree","No","No","No"
"73",0,0,0,1,3,"Not Well","No Schooling Completed","No","No","No"
"74",0,0,0,16,1,"Very Well","Regular high school diploma","No","No","No"
"75",0,0,1,20,1,"Very Well","Associate's degree","No","No","Yes"
"76",0,0,1,1,2,"Well","No Schooling Completed","No","No","Yes"
"77",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"78",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"79",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"80",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"81",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"82",0,1,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","No","Yes","Yes"
"83",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"84",0,1,1,11,1,"Very Well","Grade 8","No","Yes","Yes"
"85",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"86",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"87",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"88",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"89",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"90",1,0,1,11,1,"Very Well","Grade 8","Yes","No","Yes"
"91",0,0,0,16,2,"Well","Regular high school diploma","No","No","No"
"92",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"93",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"94",0,0,1,21,1,"Very Well","Bachelor's degree","No","No","Yes"
"95",1,0,1,22,2,"Well","Master's degree","Yes","No","Yes"
"96",1,0,1,22,2,"Well","Master's degree","Yes","No","Yes"
"97",0,1,1,23,2,"Well","Professional degree beyond a bachelor's degree","No","Yes","Yes"
"98",0,1,1,22,2,"Well","Master's degree","No","Yes","Yes"
"99",0,0,1,8,1,"Very Well","Grade 5","No","No","Yes"
"100",0,0,1,3,3,"Not Well","Kindergarten","No","No","Yes"
"101",0,0,1,18,1,"Very Well","Some college, but less than 1 year","No","No","Yes"
"102",0,0,1,16,3,"Not Well","Regular high school diploma","No","No","Yes"
"103",0,0,1,19,2,"Well","1 or more years of college credit, no degree","No","No","Yes"
"104",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"105",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"106",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"107",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"108",0,0,0,15,2,"Well","12th Grade - no diploma","No","No","No"
"109",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"110",0,0,1,13,2,"Well","Grade 10","No","No","Yes"
"111",0,0,1,12,1,"Very Well","Grade 9","No","No","Yes"
"112",1,0,1,12,2,"Well","Grade 9","Yes","No","Yes"
"113",0,0,1,19,1,"Very Well","1 or more years of college credit, no degree","No","No","Yes"
"114",0,0,1,16,2,"Well","Regular high school diploma","No","No","Yes"
"115",0,1,1,21,2,"Well","Bachelor's degree","No","Yes","Yes"
"116",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
